Item Name,Drops,Rarity,Ducats
Acceltra Prime Barrel,Meso A5 Relic,Gold,100
Acceltra Prime Barrel,Neo A12 Relic,Gold,100
Acceltra Prime Barrel,Neo A13 Relic,Gold,100
Acceltra Prime Blueprint,Lith C11 Relic,Bronze,15
Acceltra Prime Blueprint,Meso N17 Relic,Bronze,15
Acceltra Prime Blueprint,Meso W5 Relic,Bronze,15
Acceltra Prime Blueprint,Neo Z11 Relic,Bronze,15
Acceltra Prime Receiver,Axi O6 Relic,Silver,45
Acceltra Prime Receiver,Neo F3 Relic,Silver,45
Acceltra Prime Receiver,Neo O2 Relic,Silver,45
Acceltra Prime Stock,Axi A18 Relic,Gold,100
Afuris Prime Barrel,Axi N10 Relic,Bronze,15
Afuris Prime Barrel,Lith H9 Relic,Bronze,15
Afuris Prime Barrel,Lith N14 Relic,Bronze,15
Afuris Prime Barrel,Lith P8 Relic,Bronze,15
Afuris Prime Barrel,Meso B9 Relic,Bronze,15
Afuris Prime Barrel,Meso D7 Relic,Bronze,15
Afuris Prime Barrel,Meso W4 Relic,Bronze,15
Afuris Prime Barrel,Neo E4 Relic,Bronze,15
Afuris Prime Blueprint,Axi B6 Relic,Bronze,15
Afuris Prime Blueprint,Axi D5 Relic,Bronze,15
Afuris Prime Blueprint,Lith G6 Relic,Bronze,15
Afuris Prime Blueprint,Neo G7 Relic,Bronze,15
Afuris Prime Blueprint,Neo M5 Relic,Bronze,15
Afuris Prime Blueprint,Neo T7 Relic,Bronze,15
Afuris Prime Blueprint,Neo Z10 Relic,Bronze,15
Afuris Prime Link,Axi G11 Relic,Silver,45
Afuris Prime Link,Meso A5 Relic,Silver,45
Afuris Prime Link,Meso V9 Relic,Silver,45
Afuris Prime Link,Neo K5 Relic,Silver,45
Afuris Prime Receiver,Axi A16 Relic,Gold,100
Afuris Prime Receiver,Axi A17 Relic,Gold,100
Afuris Prime Receiver,Meso A4 Relic,Gold,100
Akarius Prime Barrel,Axi D5 Relic,Bronze,15
Akarius Prime Barrel,Neo A12 Relic,Bronze,15
Akarius Prime Barrel,Neo A13 Relic,Bronze,15
Akarius Prime Blueprint,Meso A7 Relic,Gold,100
